,edad,sexo,ccaa,entorno,dependiente,sociabilidad,espacio_actividad,acompañado,grupo,mascota,horario,act1,act2,act3
34,70,hombre,andalucia,urbano,False,3,exterior,False,pareja,False,tarde,bailes,gimnasia,0
35,66,mujer,galicia,rural,False,1,exterior,False,pequeño,True,tarde,excursiones,club de lectura,0
36,70,mujer,asturias,rural,True,2,interior,True,mediano,False,mañana,juegos de mesa,bailes,0
37,67,hombre,madrid,urbano,False,3,exterior,False,grande,True,tarde,gimnasia,excursiones,pickleball
38,81,mujer,castilla-la mancha,rural,True,1,exterior,True,pequeño,True,mañana,club de lectura,bailes,cocina
39,65,hombre,andalucia,urbano,False,3,interior,True,pareja,True,mañana,petanca,club de lectura,juegos de mesa
40,61,mujer,pais vasco,urbano,False,3,exterior,True,pareja,True,tarde,bailes,pilates,juegos de mesa
41,67,mujer,pais vasco,urbano,False,2,exterior,True,pequeño,True,tarde,bailes,pilates,excursiones
42,72,hombre,andalucia,rural,False,2,exterior,True,pequeño,False,noche,petanca,cocina,natacion
43,69,mujer,extremadura,rural,False,1,exterior,True,pareja,False,mañana,club de lectura,cocina,natacion
44,74,hombre,pais vasco,rural,False,3,exterior,True,grande,False,tarde,pilates,cocina,juegos de mesa
45,67,hombre,cataluña,rural,False,3,interior,True,grande,False,noche,petanca,cocina,bailes
46,61,mujer,navarra,rural,False,3,interior,True,mediano,False,mañana,cocina,pilates,bailes
47,61,hombre,cataluña,urbano,False,2,interior,True,mediano,True,tarde,petanca,gimnasia,bailes
48,81,mujer,galicia,urbano,False,1,exterior,True,pequeño,False,mañana,gimnasia,excursiones,natacion
49,67,mujer,castilla-la mancha,urbano,False,2,interior,False,solo,False,mañana,petanca,pilates,bailes
50,70,hombre,castilla-la mancha,rural,False,3,exterior,True,pareja,True,tarde,petanca,excursiones,bailes
51,65,mujer,castilla-la mancha,rural,False,2,interior,False,solo,True,mañana,cocina,gimnasia,juegos de mesa
52,80,hombre,castilla-la mancha,rural,False,3,exterior,True,pareja,True,mañana,gimnasia,pilates,natacion
53,60,hombre,castilla-la mancha,urbano,False,3,exterior,True,pareja,False,tarde,cocina,excursiones,pickleball
54,69,mujer,castilla-la mancha,rural,False,1,interior,False,solo,False,tarde,natacion,gimnasia,bailes
55,71,mujer,castilla-la mancha,urbano,False,3,exterior,False,solo,False,mañana,cocina,pilates,excursiones
56,77,hombre,castilla-la mancha,rural,True,2,interior,True,pareja,False,tarde,petanca,gimnasia,bailes
57,81,hombre,castilla-la mancha,urbano,False,3,exterior,True,pareja,True,mañana,cocina,pilates,excursiones
58,62,mujer,castilla-la mancha,urbano,False,3,exterior,False,solo,False,mañana,petanca,gimnasia,bailes
59,61,mujer,madrid,urbano,False,2,interior,False,solo,True,mañana,natacion,pilates,bailes
60,56,hombre,madrid,urbano,False,3,exterior,False,solo,True,tarde,petanca,cocina,excursiones
61,59,mujer,murcia,rural,False,1,exterior,False,solo,True,tarde,natacion,juegos de mesa,cocina
62,62,mujer,cataluña,urbano,False,2,exterior,False,solo,True,mañana,club de lectura,juegos de mesa,pilates
63,59,hombre,extremadura,rural,True,2,exterior,False,solo,True,tarde,petanca,pilates,excursiones
64,48,mujer,extremadura,rural,True,3,exterior,False,solo,True,tarde,bailes,pilates,juegos de mesa
65,58,hombre,cataluña,urbano,True,3,exterior,False,solo,True,mañana,natacion,pilates,juegos de mesa
66,63,hombre,extremadura,rural,True,2,exterior,False,solo,False,tarde,club de lectura,pickleball,juegos de mesa
67,56,hombre,galicia,urbano,True,2,exterior,True,solo,False,mañana,club de lectura,pickleball,natacion
68,60,hombre,asturias,rural,True,3,interior,False,solo,False,tarde,club de lectura,natacion,pilates
69,49,mujer,valencia,urbano,False,1,exterior,False,solo,True,tarde,natacion,juegos de mesa,pilates
70,62,mujer,valencia,urbano,False,2,interior,False,mediano,True,tarde,cocina,pilates,juegos de mesa
71,61,hombre,madrid,rural,False,2,interior,True,pequeño,True,tarde,cocina,pilates,excursiones
72,64,hombre,navarra,urbano,True,3,interior,False,grande,True,tarde,cocina,juegos de mesa,club de lectura
73,65,mujer,navarra,urbano,False,2,interior,True,pequeño,True,tarde,cocina,0,0
74,71,mujer,madrid,urbano,False,2,interior,False,pequeño,False,mañana,pickleball,natacion,0
75,69,mujer,cataluña,rural,False,2,exterior,True,mediano,True,mañana,pickleball,bailes,excursiones
76,72,mujer,galicia,rural,False,3,exterior,False,grande,False,mañana,pilates,pickleball,club de lectura
77,70,hombre,castilla y leon,rural,False,2,exterior,True,mediano,True,noche,club de lectura,pilates,0
78,73,mujer,madrid,urbano,False,3,exterior,False,grande,False,noche,pilates,gimnasia,0
79,53,hombre,madrid,urbano,False,3,exterior,False,pequeño,True,tarde,pilates,gimnasia,0
80,60,hombre,madrid,rural,False,3,interior,False,grande,True,mañana,pilates,excursiones,0
81,64,hombre,madrid,urbano,False,1,exterior,False,grande,True,mañana,pilates,gimnasia,0
82,75,mujer,madrid,urbano,True,3,exterior,False,pequeño,True,tarde,pilates,gimnasia,0
83,69,mujer,madrid,urbano,False,3,interior,False,pequeño,False,mañana,club de lectura,cocina,0
84,55,hombre,madrid,urbano,False,2,exterior,False,pequeño,True,tarde,pilates,gimnasia,0
85,69,mujer,madrid,rural,False,2,exterior,False,pequeño,True,tarde,pilates,gimnasia,club de lectura
86,63,hombre,andalucia,rural,False,3,exterior,False,mediano,True,noche,bailes,excursiones,0
87,69,mujer,pais vasco,rural,False,2,interior,False,pequeño,False,mañana,cocina,pilates,0
88,70,hombre,andalucia,rural,False,3,exterior,False,mediano,True,noche,bailes,excursiones,0
89,76,hombre,aragon,rural,False,2,exterior,True,grande,True,mañana,petanca,cocina,0
90,58,hombre,madrid,rural,False,2,exterior,True,solo,True,mañana,petanca,pilates,pickleball
91,60,hombre,madrid,rural,False,2,exterior,True,pareja,True,mañana,petanca,pilates,gimnasia
92,61,hombre,madrid,rural,False,1,exterior,True,pareja,True,mañana,petanca,pilates,excursiones
93,70,mujer,extremadura,urbano,False,3,interior,True,pequeño,False,tarde,bailes,pilates,cocina
94,72,mujer,extremadura,urbano,True,2,interior,True,pequeño,False,tarde,natacion,pilates,cocina
95,75,mujer,extremadura,urbano,False,1,interior,True,grande,False,tarde,natacion,pilates,excursiones
96,70,mujer,extremadura,urbano,False,2,interior,True,grande,False,mañana,natacion,juegos de mesa,excursiones
97,69,mujer,extremadura,rural,False,2,interior,True,pequeño,True,tarde,natacion,juegos de mesa,cocina
98,75,hombre,aragon,rural,False,3,exterior,True,grande,False,mañana,pickleball,gimnasia,excursiones
99,70,hombre,aragon,rural,False,3,exterior,True,grande,True,mañana,pickleball,gimnasia,excursiones
100,58,hombre,madrid,urbano,False,2,interior,True,solo,True,tarde,cocina,pilates,gimnasia
101,55,mujer,madrid,urbano,False,3,exterior,True,pequeño,True,mañana,excursiones,petanca,gimnasia
102,60,mujer,castilla y leon,rural,False,3,interior,True,mediano,False,mañana,bailes,petanca,juegos de mesa
103,60,hombre,castilla-la mancha,urbano,True,3,exterior,True,grande,False,tarde,excursiones,pickleball,pilates
104,65,hombre,castilla-la mancha,rural,False,1,interior,False,mediano,True,mañana,excursiones,club de lectura,cocina
105,61,mujer,castilla y leon,urbano,True,2,interior,False,pequeño,True,mañana,juegos de mesa,natacion,pilates
106,59,mujer,navarra,rural,False,2,interior,False,grande,False,mañana,juegos de mesa,club de lectura,bailes
107,64,mujer,pais vasco,rural,False,1,exterior,True,pequeño,False,tarde,excursiones,club de lectura,petanca
108,61,hombre,castilla y leon,rural,False,2,exterior,False,mediano,True,mañana,excursiones,juegos de mesa,petanca
109,68,hombre,extremadura,urbano,True,2,exterior,True,grande,True,mañana,excursiones,juegos de mesa,natacion
110,66,hombre,andalucia,urbano,False,2,interior,False,pequeño,True,tarde,juegos de mesa,excursiones,juegos de mesa
111,77,mujer,madrid,urbano,False,3,exterior,False,pareja,True,mañana,bailes,excursiones,natacion
112,50,mujer,galicia,urbano,True,2,interior,False,grande,True,noche,cocina,pilates,juegos de mesa
113,68,mujer,galicia,rural,False,2,exterior,True,pequeño,True,mañana,natacion,excursiones,bailes
114,54,mujer,pais vasco,rural,True,2,exterior,False,pequeño,True,tarde,petanca,gimnasia,gimnasia
115,66,mujer,galicia,urbano,False,1,interior,False,pequeño,False,mañana,bailes,gimnasia,juegos de mesa
116,70,mujer,cataluña,rural,False,2,exterior,False,solo,True,tarde,natacion,pilates,club de lectura
117,68,hombre,pais vasco,rural,False,2,interior,False,solo,True,mañana,gimnasia,cocina,cocina
118,68,mujer,extremadura,rural,False,1,exterior,True,pequeño,True,noche,natacion,gimnasia,petanca
119,48,mujer,extremadura,rural,False,2,exterior,False,solo,True,tarde,club de lectura,juegos de mesa,juegos de mesa
120,74,mujer,cataluña,urbano,False,3,exterior,False,pequeño,False,noche,pilates,pickleball,bailes
121,76,hombre,extremadura,rural,False,1,exterior,False,solo,True,tarde,pilates,excursiones,cocina
122,58,hombre,extremadura,urbano,False,2,exterior,False,pequeño,True,tarde,petanca,gimnasia,juegos de mesa
123,60,hombre,castilla-la mancha,rural,False,2,exterior,True,solo,True,tarde,club de lectura,club de lectura,natacion
124,62,mujer,castilla-la mancha,rural,False,3,exterior,False,pareja,True,noche,pickleball,excursiones,natacion
125,56,hombre,castilla-la mancha,rural,False,1,exterior,False,grande,True,mañana,cocina,pilates,0
126,67,mujer,pais vasco,urbano,False,2,interior,True,pareja,False,tarde,natacion,club de lectura,juegos de mesa
127,64,hombre,castilla-la mancha,rural,False,3,exterior,True,solo,True,tarde,natacion,gimnasia,club de lectura
128,63,mujer,castilla-la mancha,rural,False,3,interior,False,pequeño,True,noche,bailes,juegos de mesa,pilates
129,66,mujer,asturias,urbano,False,2,interior,True,pequeño,False,mañana,natacion,excursiones,0
130,74,hombre,pais vasco,rural,False,3,exterior,False,pareja,False,mañana,pickleball,excursiones,cocina
131,76,hombre,castilla-la mancha,rural,True,1,interior,True,pequeño,False,tarde,pilates,pilates,0
132,70,hombre,aragon,rural,False,3,interior,True,grande,False,tarde,pickleball,gimnasia,gimnasia
133,50,hombre,madrid,rural,False,2,exterior,False,pequeño,True,mañana,cocina,pilates,excursiones
134,67,mujer,castilla-la mancha,rural,False,2,exterior,True,pequeño,True,mañana,petanca,club de lectura,gimnasia
135,65,mujer,madrid,urbano,False,2,interior,False,grande,True,mañana,bailes,cocina,natacion
136,66,mujer,madrid,urbano,False,1,exterior,False,solo,False,tarde,bailes,juegos de mesa,pilates
137,52,hombre,pais vasco,rural,False,1,interior,False,solo,False,mañana,petanca,excursiones,excursiones
138,67,mujer,cataluña,rural,False,2,exterior,False,solo,True,tarde,natacion,pilates,natacion
139,68,mujer,castilla-la mancha,rural,False,3,interior,False,grande,False,tarde,natacion,juegos de mesa,cocina
140,73,mujer,andalucia,urbano,True,3,exterior,True,grande,False,mañana,natacion,pilates,0
141,63,mujer,castilla y leon,urbano,True,2,exterior,False,mediano,False,mañana,bailes,club de lectura,natacion
142,67,mujer,andalucia,urbano,False,3,interior,False,pequeño,False,mañana,pickleball,bailes,excursiones
143,58,hombre,extremadura,urbano,False,2,exterior,True,pequeño,False,mañana,natacion,cocina,bailes
144,78,mujer,extremadura,urbano,False,2,exterior,False,pequeño,False,noche,bailes,cocina,bailes
145,67,hombre,castilla-la mancha,urbano,False,2,exterior,False,grande,True,tarde,club de lectura,pilates,excursiones
146,60,mujer,valencia,rural,False,2,interior,False,pareja,False,tarde,bailes,cocina,cocina
147,71,hombre,madrid,rural,False,3,interior,False,pequeño,False,mañana,petanca,petanca,pilates
148,66,hombre,madrid,rural,False,2,exterior,False,pequeño,False,mañana,natacion,juegos de mesa,0
149,73,hombre,castilla-la mancha,rural,False,2,exterior,True,grande,True,tarde,natacion,pilates,natacion
150,58,mujer,cataluña,rural,False,2,exterior,False,solo,False,mañana,excursiones,excursiones,natacion
151,58,hombre,galicia,rural,False,2,interior,True,grande,False,mañana,petanca,juegos de mesa,natacion
152,72,hombre,cataluña,urbano,False,2,interior,True,grande,True,noche,pilates,club de lectura,excursiones
153,61,hombre,extremadura,urbano,True,3,exterior,True,grande,True,tarde,juegos de mesa,juegos de mesa,pilates
154,52,hombre,castilla-la mancha,urbano,True,2,exterior,False,pareja,True,tarde,petanca,club de lectura,natacion
155,75,mujer,extremadura,urbano,False,3,exterior,False,pareja,False,tarde,cocina,club de lectura,excursiones
156,48,mujer,extremadura,urbano,False,2,exterior,True,pequeño,False,tarde,natacion,excursiones,natacion
157,62,hombre,madrid,rural,True,2,interior,False,solo,True,tarde,pilates,pilates,natacion
158,73,hombre,pais vasco,rural,False,3,exterior,True,grande,False,mañana,pilates,juegos de mesa,pilates
159,55,mujer,extremadura,rural,False,2,interior,False,pequeño,True,tarde,cocina,club de lectura,pilates
160,83,mujer,andalucia,rural,False,1,interior,False,solo,False,mañana,bailes,club de lectura,0
161,73,hombre,castilla y leon,urbano,False,3,exterior,False,mediano,False,tarde,pilates,club de lectura,bailes
162,56,hombre,navarra,rural,False,1,interior,True,pequeño,True,tarde,petanca,excursiones,excursiones
163,75,hombre,castilla-la mancha,rural,False,2,exterior,False,pareja,True,mañana,petanca,excursiones,excursiones
164,72,hombre,andalucia,rural,False,3,exterior,False,solo,False,mañana,pickleball,excursiones,excursiones
165,62,mujer,madrid,urbano,False,2,exterior,False,pequeño,True,tarde,pilates,pickleball,0
166,67,hombre,extremadura,urbano,False,2,exterior,True,grande,True,mañana,juegos de mesa,excursiones,excursiones
167,63,hombre,cataluña,rural,True,1,exterior,True,pareja,True,mañana,petanca,gimnasia,gimnasia
168,79,hombre,cataluña,urbano,True,1,exterior,True,mediano,False,tarde,cocina,club de lectura,excursiones
169,92,mujer,castilla-la mancha,rural,False,1,exterior,False,pareja,False,mañana,bailes,excursiones,juegos de mesa
170,63,hombre,castilla-la mancha,rural,False,1,interior,True,solo,True,noche,pilates,excursiones,natacion
171,71,hombre,navarra,rural,False,3,exterior,False,grande,False,mañana,bailes,excursiones,pilates
172,65,hombre,cataluña,urbano,False,3,interior,True,mediano,True,mañana,cocina,excursiones,petanca
173,59,hombre,madrid,rural,True,1,exterior,True,pequeño,True,tarde,petanca,bailes,cocina
174,76,mujer,valencia,rural,False,2,exterior,True,pareja,False,mañana,bailes,juegos de mesa,juegos de mesa
175,57,mujer,cataluña,rural,False,1,exterior,True,solo,True,noche,natacion,excursiones,pilates
176,70,hombre,navarra,urbano,True,3,exterior,False,pareja,True,mañana,juegos de mesa,juegos de mesa,bailes
177,72,hombre,aragon,rural,False,3,interior,True,solo,True,mañana,pilates,gimnasia,gimnasia
178,69,mujer,castilla y leon,urbano,False,2,exterior,False,pequeño,True,tarde,natacion,excursiones,natacion
179,69,hombre,extremadura,rural,False,1,exterior,True,pequeño,True,mañana,pickleball,excursiones,cocina
180,82,mujer,andalucia,rural,False,2,exterior,True,grande,False,noche,excursiones,cocina,pilates
181,62,mujer,castilla-la mancha,urbano,False,2,exterior,False,pequeño,True,tarde,club de lectura,pilates,0
182,66,mujer,madrid,urbano,False,3,exterior,False,pequeño,False,mañana,club de lectura,juegos de mesa,natacion
183,65,mujer,cataluña,rural,False,1,exterior,True,pareja,True,mañana,petanca,juegos de mesa,excursiones
184,72,mujer,extremadura,urbano,False,2,interior,True,pareja,True,tarde,petanca,gimnasia,cocina
185,64,mujer,castilla-la mancha,urbano,True,3,interior,True,mediano,True,mañana,pilates,juegos de mesa,juegos de mesa
186,71,hombre,cataluña,urbano,False,1,interior,False,grande,False,mañana,bailes,juegos de mesa,natacion
187,74,hombre,valencia,rural,False,3,interior,True,pareja,False,mañana,cocina,pilates,bailes
188,59,mujer,andalucia,urbano,False,2,exterior,False,pequeño,True,mañana,cocina,excursiones,excursiones
189,82,hombre,madrid,rural,False,2,exterior,True,pareja,False,mañana,bailes,gimnasia,natacion
190,67,hombre,andalucia,rural,True,1,interior,True,pareja,True,tarde,natacion,juegos de mesa,natacion
191,70,mujer,madrid,rural,False,2,interior,False,pequeño,True,tarde,pilates,bailes,natacion
192,60,hombre,castilla-la mancha,urbano,False,2,interior,False,solo,False,tarde,natacion,pilates,gimnasia
193,59,mujer,pais vasco,rural,False,3,exterior,False,solo,True,tarde,petanca,gimnasia,excursiones
194,66,mujer,castilla-la mancha,urbano,False,2,interior,True,grande,True,noche,cocina,gimnasia,juegos de mesa
195,77,hombre,extremadura,rural,False,2,exterior,True,solo,True,mañana,bailes,juegos de mesa,pilates
196,68,mujer,madrid,urbano,False,2,interior,True,solo,True,tarde,natacion,excursiones,juegos de mesa
197,62,mujer,andalucia,urbano,False,3,interior,True,solo,False,mañana,excursiones,excursiones,excursiones
198,69,mujer,pais vasco,rural,True,3,interior,False,pareja,False,mañana,cocina,bailes,excursiones
199,79,hombre,extremadura,rural,False,2,interior,False,pareja,False,mañana,pilates,club de lectura,juegos de mesa
200,68,hombre,madrid,rural,False,2,interior,True,pareja,True,mañana,juegos de mesa,gimnasia,natacion
201,52,mujer,castilla-la mancha,urbano,False,2,exterior,True,solo,False,noche,petanca,gimnasia,bailes
202,58,mujer,navarra,urbano,True,3,exterior,False,pequeño,False,tarde,club de lectura,pilates,excursiones
203,48,hombre,madrid,urbano,True,2,exterior,False,solo,True,mañana,excursiones,juegos de mesa,0
204,76,hombre,castilla-la mancha,urbano,False,3,exterior,False,mediano,True,mañana,cocina,gimnasia,excursiones
205,80,hombre,galicia,rural,False,2,interior,True,solo,False,tarde,bailes,juegos de mesa,cocina
206,62,hombre,castilla-la mancha,rural,True,3,interior,False,pareja,False,mañana,pickleball,juegos de mesa,juegos de mesa
207,74,hombre,pais vasco,urbano,True,3,exterior,False,pequeño,False,noche,petanca,cocina,cocina
208,71,hombre,madrid,rural,True,2,exterior,False,solo,True,mañana,bailes,club de lectura,excursiones
209,83,hombre,extremadura,rural,True,2,exterior,False,grande,False,tarde,pilates,juegos de mesa,bailes
210,60,hombre,extremadura,urbano,False,2,interior,True,grande,True,tarde,petanca,club de lectura,bailes
211,67,mujer,madrid,urbano,False,1,interior,False,solo,True,mañana,bailes,gimnasia,natacion
212,71,mujer,castilla-la mancha,rural,False,3,interior,False,solo,True,tarde,club de lectura,pickleball,juegos de mesa
213,70,mujer,madrid,urbano,False,2,interior,True,grande,True,mañana,natacion,pilates,cocina
214,71,hombre,valencia,rural,False,3,exterior,False,pareja,False,mañana,club de lectura,club de lectura,juegos de mesa
215,69,hombre,pais vasco,rural,False,2,interior,False,mediano,False,tarde,petanca,juegos de mesa,0
216,70,hombre,castilla-la mancha,urbano,False,3,exterior,False,mediano,True,mañana,pilates,bailes,0
217,60,mujer,pais vasco,rural,False,2,interior,False,solo,True,noche,bailes,juegos de mesa,excursiones
218,70,mujer,madrid,rural,True,3,exterior,False,grande,True,tarde,petanca,pickleball,excursiones
219,81,mujer,madrid,rural,False,3,interior,False,pareja,False,tarde,natacion,pilates,natacion
220,68,mujer,pais vasco,rural,True,2,interior,True,pareja,True,noche,petanca,gimnasia,excursiones
221,57,hombre,andalucia,rural,False,3,exterior,False,pequeño,True,tarde,club de lectura,bailes,club de lectura
222,66,hombre,madrid,rural,False,3,exterior,True,solo,False,mañana,natacion,gimnasia,juegos de mesa
223,79,hombre,castilla-la mancha,rural,False,2,interior,True,grande,False,mañana,petanca,pilates,gimnasia
224,58,hombre,extremadura,rural,False,3,exterior,False,grande,False,mañana,club de lectura,gimnasia,juegos de mesa
225,58,hombre,galicia,urbano,False,3,interior,True,pareja,False,mañana,bailes,gimnasia,pickleball
226,81,hombre,castilla-la mancha,urbano,False,3,exterior,False,grande,True,tarde,excursiones,petanca,juegos de mesa
227,74,hombre,extremadura,urbano,False,3,interior,False,pareja,False,mañana,pilates,juegos de mesa,petanca
228,57,mujer,castilla-la mancha,rural,True,3,exterior,True,pequeño,True,tarde,club de lectura,gimnasia,natacion
229,64,hombre,madrid,urbano,False,3,exterior,False,pareja,False,tarde,natacion,pilates,bailes
230,62,hombre,cataluña,rural,False,3,exterior,True,grande,True,mañana,excursiones,club de lectura,0
231,73,mujer,andalucia,urbano,True,2,interior,True,pareja,False,tarde,juegos de mesa,club de lectura,bailes
232,61,hombre,extremadura,rural,False,2,exterior,False,pareja,True,tarde,pilates,excursiones,bailes
233,61,hombre,castilla-la mancha,rural,False,3,exterior,False,pequeño,True,mañana,pilates,excursiones,bailes
234,74,hombre,pais vasco,rural,True,2,exterior,False,grande,True,noche,bailes,gimnasia,excursiones
235,60,mujer,pais vasco,rural,False,2,exterior,False,mediano,False,tarde,pilates,club de lectura,club de lectura
236,60,hombre,andalucia,rural,False,1,interior,True,solo,False,mañana,petanca,pilates,natacion
237,64,mujer,cataluña,rural,False,2,interior,False,pequeño,True,mañana,club de lectura,excursiones,bailes
238,67,hombre,castilla-la mancha,rural,False,3,exterior,True,mediano,False,tarde,club de lectura,pilates,natacion
239,65,mujer,galicia,rural,True,2,interior,True,mediano,False,tarde,petanca,excursiones,gimnasia
240,71,hombre,murcia,urbano,False,2,exterior,False,solo,True,tarde,pilates,pilates,natacion
241,67,hombre,galicia,urbano,False,3,interior,True,pareja,False,mañana,juegos de mesa,excursiones,0
242,63,hombre,pais vasco,urbano,True,3,exterior,False,solo,False,mañana,natacion,juegos de mesa,natacion
243,67,hombre,madrid,rural,False,3,exterior,False,grande,True,tarde,excursiones,gimnasia,natacion
244,62,mujer,extremadura,rural,False,2,exterior,False,pequeño,False,tarde,juegos de mesa,club de lectura,pickleball
245,71,hombre,cataluña,urbano,False,2,interior,True,grande,False,mañana,gimnasia,excursiones,excursiones
246,66,hombre,cataluña,urbano,True,1,exterior,False,mediano,False,tarde,juegos de mesa,juegos de mesa,club de lectura
247,67,hombre,castilla-la mancha,rural,True,2,exterior,False,grande,True,tarde,bailes,pilates,natacion
248,53,hombre,andalucia,rural,False,2,exterior,False,grande,True,tarde,juegos de mesa,gimnasia,petanca
249,62,hombre,andalucia,urbano,False,2,exterior,True,grande,False,mañana,excursiones,juegos de mesa,excursiones
250,63,mujer,castilla-la mancha,rural,True,3,interior,False,grande,True,tarde,excursiones,juegos de mesa,natacion
251,84,hombre,andalucia,rural,False,3,interior,True,solo,False,tarde,bailes,excursiones,pilates
252,76,mujer,pais vasco,urbano,True,3,exterior,True,pequeño,False,tarde,pilates,juegos de mesa,club de lectura
253,58,mujer,castilla-la mancha,urbano,False,2,exterior,False,grande,True,tarde,excursiones,gimnasia,bailes
254,69,mujer,cataluña,urbano,False,2,exterior,False,solo,False,tarde,natacion,pilates,club de lectura
255,62,hombre,extremadura,rural,False,2,exterior,False,pequeño,True,tarde,club de lectura,juegos de mesa,natacion
256,52,mujer,madrid,rural,False,2,exterior,True,pareja,True,noche,pilates,juegos de mesa,excursiones
257,68,mujer,madrid,urbano,False,2,interior,True,pareja,False,tarde,cocina,juegos de mesa,juegos de mesa
258,67,mujer,castilla-la mancha,rural,False,1,exterior,False,pequeño,False,tarde,petanca,pilates,petanca
259,60,hombre,andalucia,urbano,False,3,exterior,False,pequeño,True,tarde,pilates,gimnasia,excursiones
260,68,mujer,castilla-la mancha,rural,False,3,interior,True,solo,True,mañana,excursiones,pilates,excursiones
261,67,mujer,murcia,urbano,False,3,exterior,True,pareja,True,mañana,natacion,gimnasia,club de lectura
262,59,hombre,asturias,rural,False,1,interior,True,solo,True,tarde,excursiones,gimnasia,excursiones
263,72,hombre,cataluña,urbano,True,3,exterior,False,grande,False,mañana,excursiones,juegos de mesa,bailes
264,69,mujer,andalucia,urbano,False,3,exterior,False,pareja,False,noche,cocina,juegos de mesa,bailes
265,75,hombre,pais vasco,rural,False,3,exterior,False,pareja,False,mañana,natacion,bailes,juegos de mesa
266,54,hombre,madrid,urbano,False,2,exterior,True,pareja,True,mañana,excursiones,excursiones,excursiones
267,56,hombre,pais vasco,urbano,False,2,interior,False,mediano,True,tarde,cocina,excursiones,pilates
268,78,hombre,murcia,urbano,False,3,interior,True,solo,False,mañana,pilates,pilates,excursiones
269,64,mujer,madrid,urbano,False,1,exterior,False,pequeño,True,tarde,natacion,gimnasia,excursiones
270,48,mujer,castilla-la mancha,rural,False,2,interior,True,pequeño,True,tarde,cocina,gimnasia,0
271,76,mujer,madrid,urbano,False,2,interior,False,pequeño,False,tarde,natacion,pickleball,natacion
272,56,hombre,madrid,rural,False,3,interior,True,solo,True,mañana,cocina,excursiones,0
